Phenotype1,Phenotype2,Log2(OR),95% CI Lower,95% CI Upper,P_adj,Significance
Pale Irides,Drooling,-3.361199782,-7.44123227,0.718832707,0.335935793,ns
Drooling,Otitis Media,-3.263715619,-7.34755269,0.820121453,0.373313005,ns
Broad Chin,Hypodontia,-3.217413209,-7.284220953,0.849394536,0.376441944,ns
High/Broad Forehead,Constipation,-3.21195186,-7.281653903,0.857750183,0.380136016,ns
Macroglossia,Long/Prominent Philtrum,-3.192807242,-7.266124571,0.880510086,0.390879735,ns
Low Birth Weight,Neonatal Jaundice,-3.188347535,-7.263272077,0.886577007,0.394821553,ns
Intrauterine Growth Restriction,Abnormal EEG,-3.169925001,-7.238829357,0.898979354,0.394821553,ns
Intrauterine Growth Restriction,Anxiety,-3.169925001,-7.238829357,0.898979354,0.394821553,ns
Failure to Thrive in Infancy,Drooling,-3.160250564,-7.248416373,0.927915244,0.414388072,ns
Everted Lower Lip,Micrognathia,-3.110576992,-7.20325993,0.982105946,0.443286426,ns
Sparse Eyebrows,Thin Upper Lip,-3.105436275,-7.175891384,0.965018834,0.423503526,ns
Drooling,Hypoplasia Hand Muscles,-3.049943581,-7.143077675,1.043190513,0.466770244,ns
Sparse Eyebrows,Multiple Nevi,-3.038573705,-7.110712921,1.033565512,0.455118791,ns
Sparse Eyebrows,Constipation,-3.038573705,-7.110712921,1.033565512,0.455118791,ns
Hypertelorism,Nasal Speech,-3.018389425,-7.099014857,1.062236006,0.466770244,ns
Everted Lower Lip,Nystagmus,-2.99229594,-7.090738835,1.106146954,0.492706958,ns
Long/Prominent Philtrum,Nasal Speech,-2.943927975,-7.025377941,1.137521991,0.498263082,ns
Tracheomalacia/Laryngomalacia,Pigmentation Abnormalities,-2.943927975,-7.025377941,1.137521991,0.498263082,ns
Failure to Thrive in Infancy,Foot Deformities,-2.936167348,-7.026208907,1.153874211,0.509337668,ns
Drooling,Café-au-lait Spots,-2.931734667,-7.030628572,1.167159238,0.51848542,ns
Narrow/Short Palpebral Fissures,Myopia,-2.905758626,-6.987649743,1.176132491,0.513241435,ns
Low-Set Ears,Patent Foramen Ovale,-2.892071881,-6.986492716,1.202348954,0.532242005,ns
Everted Lower Lip,Narrow Hands,-2.864788216,-6.96998701,1.240410577,0.552218194,ns
Craniosynostosis,Abnormal Hair Color/Texture,-2.862246681,-7.008734051,1.28424069,0.587152819,ns
Neonatal Jaundice,Otitis Media,-2.829595299,-6.917393988,1.258203389,0.550573398,ns
Drooling,Narrow Hands,-2.804298364,-6.909947905,1.301351177,0.573335655,ns
Failure to Thrive in Infancy,Neonatal Jaundice,-2.726574806,-6.818700974,1.365551361,0.588828361,ns
Failure to Thrive in Infancy,Hypertelorism,-2.726574806,-6.818700974,1.365551361,0.588828361,ns
Astigmatism,Foot Deformities,-2.708136941,-6.808904907,1.392631025,0.605024946,ns
Open Mouth,Corpus Callosum Hypoplasia/Agenesis,-2.679054036,-6.785711761,1.42760369,0.620911245,ns
Intrauterine Growth Restriction,ADHD,-2.65612353,-6.734337164,1.422090105,0.605854943,ns
Failure to Thrive in Infancy,Tracheomalacia/Laryngomalacia,-2.652305969,-6.745255584,1.440643647,0.619491913,ns
Long/Prominent Philtrum,Small Teeth,-2.652305969,-6.745255584,1.440643647,0.619491913,ns
Broad Chin,Multiple Nevi,-2.639570375,-6.718638917,1.439498166,0.612987881,ns
Neonatal Jaundice,Hypoplasia Hand Muscles,-2.616708085,-6.713800622,1.480384453,0.635628051,ns
Macrocephaly,Pectus Excavatum,-2.583347845,-6.663562261,1.496866571,0.634799592,ns
Pectus Excavatum,Constipation,-2.583347845,-6.663562261,1.496866571,0.634799592,ns
Anxiety,Nasal Speech,-2.573466862,-6.659780523,1.512846799,0.64147423,ns
Ptosis,Cleft Lip/Palate,-2.570748642,-6.672845273,1.53134799,0.653097415,ns
Ptosis,Nystagmus,-2.570748642,-6.672845273,1.53134799,0.653097415,ns
Low Birth Weight,Hypodontia,-2.553829883,-6.637483989,1.529824222,0.647360374,ns
Long/Prominent Philtrum,Hypoplasia Hand Muscles,-2.542502254,-6.64041764,1.555413132,0.659492584,ns
Long/Prominent Philtrum,Inguinal Hernia,-2.542502254,-6.64041764,1.555413132,0.659492584,ns
Tongue Protrusion,Corpus Callosum Hypoplasia/Agenesis,-2.540839947,-6.655529336,1.573849441,0.676159429,ns
Feeding Difficulties,Craniosynostosis,-2.538368275,-5.123434585,0.046698035,0.34436636,ns
Long/Prominent Philtrum,Anxiety,-2.523942063,-4.925369871,-0.122514255,0.128168654,ns
Drooling,Hydrocephalus,-2.514484986,-6.637875333,1.608905361,0.694936617,ns
Broad Chin,Corpus Callosum Hypoplasia/Agenesis,-2.502052438,-4.909289678,-0.094815197,0.135835525,ns
Language Disorder,Nasal Speech,-2.497014801,-4.936972672,-0.057056931,0.145387485,ns
Failure to Thrive in Infancy,Slender/Long Fingers,-2.495882462,-6.590725304,1.598960381,0.676159429,ns
Sparse Eyebrows,Narrow/Short Palpebral Fissures,-2.484405733,-4.886610946,-0.08220052,0.138248145,ns
Pale Irides,Anxiety,-2.482049921,-6.57173043,1.607630587,0.676628566,ns
Narrow/High Palate,Long/Prominent Philtrum,-2.476389503,-4.879057112,-0.073721894,0.140480238,ns
Tongue Protrusion,Foot Deformities,-2.442825324,-6.558378035,1.672727386,0.716496887,ns
Long/Prominent Philtrum,Nystagmus,-2.424791786,-6.528463505,1.678879932,0.716496887,ns
Bicuspid Aortic Valve,Hip Dislocation/Dysplasia,-2.424791786,-6.528463505,1.678879932,0.716496887,ns
Hip Dislocation/Dysplasia,Pyelectasis,-2.424791786,-6.528463505,1.678879932,0.716496887,ns
Macroglossia,Broad Chin,-2.423211431,-6.508320268,1.661897407,0.696372556,ns
Language Disorder,Bilateral Kidneys,-2.423211431,-6.616033323,1.769610462,0.783538964,ns
Everted Lower Lip,Pulmonary Valve Stenosis,-2.407262544,-6.542170551,1.727645464,0.739519191,ns
Narrow/Short Palpebral Fissures,Nystagmus,-2.386779239,-6.490890708,1.717332229,0.724162486,ns
Narrow/Short Palpebral Fissures,Pyelectasis,-2.386779239,-6.490890708,1.717332229,0.724162486,ns
Slender/Long Fingers,Patent Foramen Ovale,-2.386201309,-6.486008392,1.713605775,0.720812585,ns
Developmental Delay/Intellectual Disability,Astigmatism,-2.380463306,-4.545387459,-0.215539153,0.470231916,ns
Everted Lower Lip,Thin Upper Lip,-2.376989922,-4.793831154,0.039851309,0.174001588,ns
Neonatal Jaundice,Narrow Hands,-2.371930739,-6.481532301,1.737670823,0.733180898,ns
Thin Upper Lip,Multiple Nevi,-2.339575961,-6.425322574,1.746170652,0.727278926,ns
Long/Prominent Philtrum,Hypodontia,-2.32681445,-4.733673721,0.08004482,0.188544446,ns
Broad Chin,Hearing Impairment,-2.311677998,-4.219756509,-0.403599488,0.077862874,ns
Everted Lower Lip,Constipation,-2.306620842,-4.726542277,0.113300593,0.199894164,ns
Everted Lower Lip,Sacral Dimple,-2.306620842,-4.726542277,0.113300593,0.199894164,ns
Open Mouth,Tracheomalacia/Laryngomalacia,-2.297849176,-6.40827186,1.812573507,0.759607629,ns
Narrow Hands,Tracheomalacia/Laryngomalacia,-2.297849176,-6.40827186,1.812573507,0.759607629,ns
Epicanthal Folds,Myopia,-2.29253431,-4.733945406,0.148876786,0.330540235,ns
Failure to Thrive in Infancy,Abnormal EEG,-2.282668664,-6.380473451,1.815136122,0.75686131,ns
Macrocephaly,Vesicoureteral Reflux,-2.273127348,-6.360554311,1.814299614,0.75094172,ns
Hearing Impairment,Nasal Speech,-2.239700997,-4.681541964,0.20213997,0.35604453,ns
Failure to Thrive in Infancy,Narrow/High Palate,-2.237233919,-6.335731984,1.861264145,0.774442988,ns
Macrocephaly,Dry Skin/Hyperkeratosis/Eczema,-2.204091605,-6.293349332,1.885166123,0.778531975,ns
Dry Skin/Hyperkeratosis/Eczema,Constipation,-2.204091605,-6.293349332,1.885166123,0.778531975,ns
Intrauterine Growth Restriction,Macroglossia,-2.187627003,-6.277860842,1.902606836,0.783538964,ns
Open Mouth,Motor Developmental Delay,-2.178017009,-4.218127663,-0.137906355,0.155028,ns
Broad Chin,Myopia,-2.175875711,-6.269103338,1.917351916,0.78747266,ns
Sparse Eyebrows,Micrognathia,-2.173134558,-6.275900899,1.929631783,0.792942906,ns
Hearing Impairment,Bilateral Kidneys,-2.172851786,-6.366771699,2.021068128,0.855264109,ns
Tongue Protrusion,Tracheomalacia/Laryngomalacia,-2.159986764,-6.278435998,1.958462469,0.805956168,ns
Craniosynostosis,Drooling,-2.15940713,-6.309878478,1.991064219,0.829751936,ns
Pale Irides,Hearing Impairment,-2.141532477,-4.589716971,0.306652017,0.404282779,ns
Neonatal Jaundice,Pectus Excavatum,-2.126007885,-4.540483419,0.288467649,0.38551723,ns
Hip Dislocation/Dysplasia,Cryptorchidism,-2.125264874,-3.753109324,-0.497420424,0.057665633,ns
Small Teeth,Developmental Delay/Intellectual Disability,-2.117405954,-4.254064765,0.019252856,0.550317915,ns
Craniosynostosis,Seizures,-2.104710787,-4.689277979,0.479856406,0.559900414,ns
ADHD,Pigmentation Abnormalities,-2.06201979,-6.157617555,2.033577974,0.822632176,ns
Sparse Eyebrows,Bicuspid Aortic Valve,-2.055691257,-6.164208769,2.052826255,0.830293528,ns
Abnormal EEG,Astigmatism,-2.055691257,-6.164208769,2.052826255,0.830293528,ns
Abnormal EEG,Nystagmus,-2.055691257,-6.164208769,2.052826255,0.830293528,ns
Age,Myopia,-2.0481031,-3.541036732,-0.555169467,0.052263333,ns
Short Stature,Micrognathia,-2.033689224,-6.138657304,2.071278856,0.83706317,ns
Short Stature,Inguinal Hernia,-2.033689224,-6.138657304,2.071278856,0.83706317,ns
Developmental Delay/Intellectual Disability,Pulmonary Valve Stenosis,-2.025737561,-4.684254114,0.632778991,0.824091563,ns
Narrow/High Palate,Nystagmus,-2.010313509,-6.119522833,2.098895815,0.845291544,ns
Narrow/High Palate,Pyelectasis,-2.010313509,-6.119522833,2.098895815,0.845291544,ns
Tongue Protrusion,Motor Developmental Delay,-2.005629169,-4.069732941,0.058474603,0.378468684,ns
Short Stature,Sparse Eyebrows,-1.994994216,-4.408988166,0.418999735,0.456951504,ns
Failure to Thrive in Infancy,Ventricular Septal Defect,-1.992910575,-6.095553905,2.109732754,0.845600497,ns
Long/Prominent Philtrum,ADHD,-1.988974496,-4.407128645,0.429179652,0.46281182,ns
Micrognathia,Hypodontia,-1.984926338,-6.09071827,2.120865595,0.850218663,ns
Hypodontia,Hypoplasia Hand Muscles,-1.984926338,-6.09071827,2.120865595,0.850218663,ns
Hypodontia,Inguinal Hernia,-1.984926338,-6.09071827,2.120865595,0.850218663,ns
High/Broad Nasal Bridge,Everted Lower Lip,-1.984836512,-3.617457025,-0.352215998,0.088563881,ns
Upward Slanting Palpebral Fissures,Myopia,-1.984111888,-3.944851298,-0.023372478,0.193413891,ns
Failure to Thrive in Infancy,Motor Developmental Delay,-1.982281894,-3.743923801,-0.220639987,0.138248145,ns
Dolichocephaly,Cryptorchidism,-1.976226031,-6.146159886,2.193707824,0.904730081,ns
Thin Upper Lip,Slender Lower Limbs,-1.963076304,-6.059968785,2.133816177,0.851952263,ns
High/Broad Forehead,Hearing Impairment,-1.960649596,-3.42609113,-0.495208062,0.055102723,ns
Long Face,Nystagmus,-1.960625762,-3.980923601,0.059672078,0.229745781,ns
Macrocephaly,Epicanthal Folds,-1.960165556,-3.888417172,-0.031913941,0.187530173,ns
Language Disorder,Pectus Excavatum,-1.94753258,-3.603158856,-0.291906304,0.106627448,ns
Dolichocephaly,Drooling,-1.945986697,-6.1161476,2.224174206,0.912472783,ns
Sparse Eyebrows,Hypodontia,-1.944235288,-4.359710507,0.471239932,0.481345131,ns
Microcephaly,Foot Deformities,-1.936982661,-6.089312342,2.21534702,0.904730081,ns
Long/Prominent Philtrum,Slender/Long Fingers,-1.935234626,-3.83729673,-0.033172521,0.185300556,ns
Low Birth Weight,Drooling,-1.932329305,-4.368677055,0.504018446,0.509307537,ns
Sparse Eyebrows,Narrow Hands,-1.929013407,-6.044275545,2.186248732,0.875340333,ns
Open Mouth,Anxiety,-1.929013407,-6.044275545,2.186248732,0.875340333,ns
Friendly/Amiable Affect,Nystagmus,-1.916649094,-3.936988884,0.103690696,0.249878303,ns
Short Stature,Astigmatism,-1.916330291,-6.027046965,2.194386382,0.875340333,ns
Narrow Hands,Speech Developmental Delay,-1.899990094,-3.627666818,-0.172313369,0.30776473,ns
Slender Lower Limbs,Constipation,-1.896763478,-5.995332535,2.20180558,0.875299899,ns
Widely Spaced Teeth,Developmental Delay/Intellectual Disability,-1.891669859,-4.007642558,0.224302841,0.612987881,ns
Developmental Delay/Intellectual Disability,Widely Spaced Nipples,-1.891669859,-4.007642558,0.224302841,0.612987881,ns
Broad Chin,Hypopigmentation,-1.885755661,-5.990459111,2.218947789,0.88197814,ns
Tubular or Pear-Shaped Nose,Micrognathia,-1.879952051,-3.538340315,-0.221563787,0.248369123,ns
Thin Upper Lip,Nasal Speech,-1.876714121,-5.976601697,2.223173454,0.881846529,ns
Everted Lower Lip,Broad Chin,-1.874469118,-3.788214431,0.039276195,0.214773994,ns
Ptosis,Constipation,-1.874469118,-4.300764535,0.5518263,0.532242005,ns
ADHD,Otitis Media,-1.874469118,-5.97722158,2.228283344,0.884253309,ns
High/Broad Nasal Bridge,Hydrocephalus,-1.853187428,-5.983217386,2.276842529,0.913150556,ns
Drooling,Slender Lower Limbs,-1.844798251,-4.286166645,0.596570143,0.559900414,ns
Long/Prominent Philtrum,Pulmonary Valve Stenosis,-1.841986807,-5.982091814,2.2981182,0.916412114,ns
Pulmonary Valve Stenosis,Hip Dislocation/Dysplasia,-1.841986807,-5.982091814,2.2981182,0.916412114,ns
Sparse Eyebrows,Ventricular Septal Defect,-1.838631869,-4.257366713,0.580102974,0.545737778,ns
Slender Lower Limbs,Speech Developmental Delay,-1.828386989,-3.21009137,-0.446682608,0.077769433,ns
Ptosis,Drooling,-1.826706575,-3.288071414,-0.365341737,0.08460999,ns
Intrauterine Growth Restriction,Narrow/Short Palpebral Fissures,-1.822486191,-4.246423674,0.601451293,0.559481314,ns
Everted Lower Lip,Nasal Speech,-1.814191106,-4.260402388,0.632020176,0.575717889,ns
Hypertelorism,Everted Lower Lip,-1.812608907,-3.275018289,-0.350199526,0.088042677,ns
Macrocephaly,Nasal Speech,-1.810427756,-5.911990837,2.291135325,0.908605063,ns
Vesicoureteral Reflux,Pigmentation Abnormalities,-1.810427756,-5.911990837,2.291135325,0.908605063,ns
Pigmentation Abnormalities,Sacral Dimple,-1.810427756,-5.911990837,2.291135325,0.908605063,ns
Nasal Speech,Constipation,-1.810427756,-5.911990837,2.291135325,0.908605063,ns
Hearing Impairment,Hypoplasia Hand Muscles,-1.807541088,-4.28073674,0.665654563,0.604588556,ns
Microcephaly,Ptosis,-1.800230488,-5.953876327,2.353415351,0.933133485,ns
Narrow Hands,Language Disorder,-1.795041661,-4.290780145,0.700696824,0.63372968,ns
Tongue Protrusion,Anxiety,-1.791413378,-5.914694231,2.331867475,0.916412114,ns
Narrow/Short Palpebral Fissures,Hearing Impairment,-1.790071882,-3.135837025,-0.444306739,0.062001622,ns
Short Stature,Urinary Tract Infection,-1.789736069,-5.907194261,2.327722123,0.916412114,ns
Developmental Delay/Intellectual Disability,Pigmentation Abnormalities,-1.789613665,-3.89719407,0.31796674,0.64147423,ns
Drooling,Enlarged Ventricles,-1.786754909,-3.249315357,-0.32419446,0.09504236,ns
Neonatal Jaundice,Ptosis,-1.782455293,-3.417422972,-0.147487613,0.150923166,ns
Long/Prominent Philtrum,Developmental Delay/Intellectual Disability,-1.781564192,-3.401253033,-0.16187535,0.395154766,ns
Micrognathia,Broad Chin,-1.776443646,-5.886101635,2.333214344,0.916412114,ns
Broad Chin,Patent Foramen Ovale,-1.776443646,-5.886101635,2.333214344,0.916412114,ns
Failure to Thrive in Infancy,ADHD,-1.772061969,-5.879129882,2.335005944,0.916412114,ns
Low Birth Weight,Low-Set Ears,-1.771448305,-4.210029224,0.667132614,0.591974627,ns
Low Birth Weight,Macroglossia,-1.763370974,-5.865273618,2.33853167,0.916412114,ns
Pale Irides,Motor Developmental Delay,-1.742072485,-3.336143098,-0.148001871,0.171647594,ns
Motor Developmental Delay,Widely Spaced Nipples,-1.742072485,-3.336143098,-0.148001871,0.171647594,ns
Myopia,Dry Skin/Hyperkeratosis/Eczema,-1.741552864,-5.844941338,2.361835611,0.918264855,ns
Open Mouth,Hypodontia,-1.741028206,-5.859308075,2.377251663,0.929205126,ns
Hypodontia,Narrow Hands,-1.741028206,-5.859308075,2.377251663,0.929205126,ns
Neonatal Jaundice,Craniosynostosis,-1.728726308,-5.883117715,2.425665099,0.947620713,ns
Craniosynostosis,Hypertelorism,-1.728726308,-5.883117715,2.425665099,0.947620713,ns
Cryptorchidism,Bilateral Kidneys,-1.728248377,-5.92489229,2.468395536,0.973157917,ns
Macrocephaly,Tracheomalacia/Laryngomalacia,-1.724687264,-4.153749869,0.70437534,0.607484061,ns
Long/Prominent Philtrum,Multiple Nevi,-1.724687264,-4.153749869,0.70437534,0.607484061,ns
Patent Foramen Ovale,Pectus Excavatum,-1.720498777,-5.831295757,2.390298203,0.9309476,ns
Pale Irides,Vesicoureteral Reflux,-1.719399721,-5.824319447,2.385520005,0.927393683,ns
Pale Irides,Constipation,-1.719399721,-5.824319447,2.385520005,0.927393683,ns
Everted Lower Lip,Pale Irides,-1.716632592,-4.169183421,0.735918237,0.634036169,ns
Everted Lower Lip,Widely Spaced Nipples,-1.716632592,-4.169183421,0.735918237,0.634036169,ns
Bulbous Nasal Tip,Pulmonary Valve Stenosis,-1.713303496,-3.681811788,0.255204796,0.59238362,ns
Tubular or Pear-Shaped Nose,Nystagmus,-1.70445917,-3.392180429,-0.016737911,0.382572097,ns
High/Broad Nasal Bridge,Hydronephrosis,-1.700883201,-4.127383158,0.725616756,0.619491913,ns
Hyperopia,Pigmentation Abnormalities,-1.689551402,-4.137382509,0.758279705,0.64147423,ns
Micrognathia,Hypotonia,-1.689131228,-3.263619966,-0.114642489,0.388643826,ns
Narrow/Short Palpebral Fissures,Constipation,-1.6856565,-4.11549344,0.74418044,0.633962603,ns
Large/Prominent Ears,Constipation,-1.68273249,-3.614185957,0.248720977,0.315952038,ns
Scoliosis/Kyphosis,Sacral Dimple,-1.68273249,-3.614185957,0.248720977,0.315952038,ns
Cleft Lip/Palate,Motor Developmental Delay,-1.682501364,-3.484899283,0.119896554,0.296269242,ns
Motor Developmental Delay,Café-au-lait Spots,-1.682501364,-3.484899283,0.119896554,0.296269242,ns
Macroglossia,Slender Lower Limbs,-1.681308997,-5.785894979,2.423276985,0.937179476,ns
Hearing Impairment,Café-au-lait Spots,-1.679448484,-4.163816808,0.80491984,0.676159429,ns
Speech Developmental Delay,Nasal Speech,-1.678646112,-3.08364092,-0.273651304,0.135835525,ns
Upward Slanting Palpebral Fissures,Macroglossia,-1.677781945,-3.372831276,0.017267386,0.229061822,ns
Anxiety,Pectus Excavatum,-1.668545349,-4.093071696,0.755980999,0.634799592,ns
Broad Chin,Astigmatism,-1.659220499,-5.774621324,2.456180326,0.945347863,ns
Broad Chin,Nystagmus,-1.659220499,-5.774621324,2.456180326,0.945347863,ns
Broad Chin,Bicuspid Aortic Valve,-1.659220499,-5.774621324,2.456180326,0.945347863,ns
Drooling,Widely Spaced Nipples,-1.65510185,-4.108431172,0.798227472,0.66147921,ns
Microcephaly,Tracheomalacia/Laryngomalacia,-1.654886518,-5.810091672,2.500318636,0.968129077,ns
Craniosynostosis,Hip Dislocation/Dysplasia,-1.654886518,-5.810091672,2.500318636,0.968129077,ns
Short Stature,Tongue Protrusion,-1.652218939,-5.777692065,2.473254187,0.952347087,ns
Intrauterine Growth Restriction,Small Teeth,-1.650823087,-5.760630919,2.458984744,0.945160285,ns
Failure to Thrive in Infancy,Hydronephrosis,-1.650823087,-5.760630919,2.458984744,0.945160285,ns
Friendly/Amiable Affect,Constipation,-1.646928254,-3.065752951,-0.228103557,0.135710668,ns
Feeding Difficulties,Pigmentation Abnormalities,-1.646875013,-3.137049449,-0.156700577,0.173162492,ns
Ptosis,Macroglossia,-1.646801755,-4.08421946,0.790615951,0.653097415,ns
High/Broad Forehead,Pulmonary Valve Stenosis,-1.645518649,-5.788027864,2.496990565,0.961871279,ns
Thin Upper Lip,Slender/Long Fingers,-1.633859349,-4.063181598,0.795462901,0.653097415,ns
